# Transcript for New Recording 20.m4a
# Language: ru, prob=1.00

[   0.72 -    3.76] А переходим в периоде, Арново и Ардеку.
[   3.76 -    7.28] То есть здесь визуально это и он.
[   8.56 -    9.76] Ты легко.
[  10.32 -   11.92] Мне нравится это слово.
[  11.92 -   12.96] Переход.
[  12.96 -   14.32] Где-нибудь первое переход.
[  14.32 -   15.76] Да, да, да, да, да.
[  15.76 -   33.54] Не дорогость.
[  33.54 -   34.54] Да, я понимаю.
[  35.90 -   45.47] Здесь смысл вот эти двух рядят.
[  46.27 -   50.47] В их индивидуальном почерке.
[  50.47 -   52.47] Где...
[  52.47 -   57.47] Кодом является Арнов, Ардеку.
[  58.47 -   60.47] Индивидальный почерк.
[  60.47 -   64.47] Не просто мы смотрим на линский и не просто мы смотрим.
[  64.47 -   65.47] Прегре.
[  65.47 -   68.47] А мы смотрим, что есть некая судь, Ардеку,
[  68.47 -   70.47] которая развивается.
[  70.47 -   72.47] Вы индивидальным почерке того и другого.
[  72.47 -   74.47] То есть это са-то са-то са-то в лине.
[  74.47 -   78.47] Двух индивидуальдек, почерков, судь, у которых.
[  78.47 -   80.47] Устил это про негричное, что все хорошо.
[  80.47 -   81.47] Чертка.
[  81.47 -  103.46] Убери, а февитивы, русский, не любит это.
[ 103.46 -  109.42] Хорошо.
[ 745.09 -  753.25] всего, движух, все, все, все, все, все, самое лучше, все, все, все будет собирать, выдержать дыкошника,
[ 753.25 -  762.09] есть люди, которые говорят о том, что нет, не всего, обудем делать определенную селекцию и вычищать эти формы, потому что это
[ 762.09 -  770.45] именно тот самый модернизм, о котором мы говорим, это вот про лекар визья, вот это и то и другое,
[ 770.45 -  779.17] начало вечное, просто первая тема, эскопическое тема, праздника от тебя, я знаю, я знаю, понимаю, мне интересует другая страна,
[ 779.17 -  794.58] а уже не мой, ко вторая тема, а вторая тема связанная, как раз в больше сепени с наблюдением, за
[ 794.58 -  800.26] человеком помешите рассказывал пример, когда Елен Гринканка сочинила свой с архизмами не
[ 800.26 -  808.38] это историк, иконно дизайн, когда она наблюдала застройка, которая ела кроссами, стольки, которые
[ 808.38 -  818.98] подавались на кровать, они были давно, ну вот, помнишь, джився в устер, помнишь, раз вот этот вот,
[ 818.98 -  826.30] как вы столик, это выстер лежит на кровать, он ему вот так вот ставит столь, на кровать,
[ 826.30 -  834.42] там яйца есть все такое помнишь, я не помню, я целый не помню, и, ну я понимаю, это было давно,
[ 834.42 -  842.38] то есть когда вот как бы в кровать, подай зафтрак вот это все, и Елен Грин, наблюдая за тем, что ее
[ 842.38 -  850.94] сестра, любящие, красавные, их и все крошки вообще вокруг, сочинили этот столь, который с бордюром,
[ 850.94 -  858.62] и который не на постере, который заходят вот этот вкусковный постер, и здесь все вот такое, и каждый
[ 858.62 -  864.70] предмет мебелен, сочинили, сочинили на так, если есть зеркала, из которой она с чнеблесой,
[ 864.70 -  872.02] в любом, как возлюбленного, не знаю для своего любого жена, оба дуячи, это обычная зеркала, но
[ 872.02 -  878.38] у нас сочинили скопические элемент с более крупным зерклым, который можно посмотреть
[ 878.38 -  884.48] вот так, за дуячи, потому что за жанг подойчивая, оба жал, чтобы у него была соколоску был
[ 884.48 -  891.34] прилизанный, вот такое, чтобы сбить его фрустрацию, она придумает ему вот этот, и так все время,
[ 891.34 -  897.50] то есть каждый предмет, который она придумывает, это абсолютно невероятно тонкое напротив,
[ 897.50 -  902.94] люди не за человеческим повезением, вот для почему эти говоришь, что и рентре, для меня является
[ 902.94 -  910.18] любими шиндерлой, а легко без ет, то же это есть, но заходят с другой стороны,
[ 910.18 -  916.62] говорит о начале о том, что дома-то машина для жилья, что такое машина для жилья, это
[ 916.62 -  922.54] с одной стороны механизм, а с другой стороны это должно быть настолько удобно, чтобы человек
[ 922.54 -  932.38] не трател, огромное количество ресурсов, за вот этим, поэтому называют это машиной,
[ 932.38 -  939.26] машиной, с точки зрения удобства, потому что это вы должны быть намного позже, но не важно,
[ 939.26 -  947.26] он тоже думает все время о вот эти человеческих потребностях, а человеческих, как вы горгономика человеческая
[ 947.26 -  956.22] потребность, да, в теми менее что отвечает о, на мой взгляд этих французских функционалистов,
[ 956.22 -  967.26] вот, которые работают с системе, работают с дорогими материалами, и с дорогим способом постройки,
[ 967.26 -  974.70] в отличие о вот-коструптивистов, которые все время хотят меньше, да, с экономить и был хаусы,
[ 974.70 -  984.38] и они не отказываются от хороших материалов и от хороших финишев, финишей, ликорбзия, рендрей и так далее,
[ 984.38 -  996.22] в то время как почему, к конструктивизм и был хаус, это не ардико, потому что это все-таки больше такой,
[ 996.22 - 1010.39] экономно, что ли способствует существование, но достаточно, неопходимые достаточно, неопходимые достаточно,
[1010.39 - 1025.51] а у ликорбзия, лендрей и шик, шик на то есть есть ощущение, русскажи, вот это отличает, если посмотреть,
[1025.51 - 1035.27] допустим на стол марселя Брейра, Бо-Хауси, который сделан был, ну, один из самых первых концерных столь,
[1035.27 - 1042.95] это металлические трубки, дохновленные, восипедом, но вообще это тема industrialизация, но и там,
[1042.95 - 1052.31] это здесь одинаковый, но марсель Брейр делает мебель из вот этих металлических трубок,
[1052.31 - 1059.67] алюминиевых, которые довольно дешево, потому что уже вымдействия отца не есть, да, они в начале кожу используют,
[1059.67 - 1066.07] потом будет использовать так, натянут и без каркаса, и тогда, что не все чистое у меня есть,
[1066.07 - 1073.35] вот эта масса стол, кто должен пойти в производство производства, или, на грей, никогда не думала,
[1073.35 - 1080.71] а масса вам производства, потому что создавая, например, еще раньше даже, чем Марсель Брейр,
[1080.71 - 1088.15] вот в истории дизайны звучит так, первые консерную стол на металлических ножках, Марсель Брей,
[1088.15 - 1098.87] в 1929 года, ну там, там, мы с вами другой, тоже вместе они там работают, аэльнгрейс создает,
[1098.87 - 1105.91] начинается создавать свою мебель на металлических хранированных, то есть, это не идея взять,
[1105.91 - 1111.91] это велосипеда дешевую тему, а это восхищение и индустриального стиля, но в такой высокой
[1111.91 - 1118.23] металлических хранированных ножках, да, поэтому тот же самый знаменитый креслобебендом, это вот,
[1118.23 - 1126.03] мы шлен, бибендом, знаешь? Ну, ну, ну, смешно, значит, вафищается шинами, то есть, вот, и ее
[1126.03 - 1134.31] знаменитая кресла культовой кресла бибендов, это упаяня скоростью, только она качественная
[1134.31 - 1142.15] декновения берет шины, да, он тоже не вот такой вот, и у нее не, не, а ременивые простые ножки, у нее
[1142.15 - 1151.83] тоже метал, но нехром, и вот это вот кожа, с такой эргономик, с таким хром, нас создает уже впечатление,
[1151.83 - 1161.99] но совершенно и ново качество этих предметов, миссван дырое уже тоже будучи в
[1161.99 - 1170.21] волхаусе, выходит на эту темы, тебе показываю его по велюр, и если взять его,
[1170.21 - 1176.79] самое из знаменитой кресла, все хрена народов в барсилонах, которые вообще знают все, это тоже
[1176.79 - 1184.23] тема дорогого модернизма уже, он создает это все стены волхаусов последним, но это уже выход вот
[1184.23 - 1193.43] туда, то есть не только мы будем извинить нечего просто, мы еще покажем и богатым своём
[1193.43 - 1204.15] насерение, как в пану обожить, я считаю, что из-за Горитива вообще просто совсем просто, ну прям совсем,
[1204.15 - 1215.53] скажите вот совсем просто, дело в материале, то есть материал в дорогом модернизме, аля вторая как
[1215.53 - 1225.85] вступень, арты-к, ими изначения, большого, это должен быть до дорогой материал, дорогой,
[1225.85 - 1234.97] конструктивиста, оба ухауса, ну, перонечельный ба ухаус, да, ну, что там, рученое творчество,
[1234.97 - 1241.29] понятно, тем не менее, они с три милисия, и шевить все это, продок, стася, и все время шеви по теме удешевления,
[1241.29 - 1252.82] вот вот это сложность, знаешь, здесь это будет очень долго, как это закаковать так, чтобы показать,
[1252.82 - 1264.10] что арты-ко, это очень сложный механизм, и да, все счастовают, куча, если там вообще его разделять,
[1264.10 - 1273.06] галевудский арты-ко, ганск-тира-ский арты-кло, да, да, что как раз очень сложно, да, да, да, да, да,
[1273.06 - 1287.06] голливудский как г 1966, да, да, да, да, да, да, да, да. Американские и, да, да, да, да, да, да, и вот это
[1287.06 - 1291.78] вот 25 год нам показывает в эту суммушечь в разработчик, там на самом деле еще одна развилка,
[1291.78 - 1299.78] Но это мельников, мы сейчас при серии релизии этого касаться не будем.
[1299.78 - 1309.78] Хотя, конечно, невероятно, что будем невероятно интересные тема, как конструктивисты, за резведов,
[1309.78 - 1318.78] в этом обыставке 1925 года, который сразу был заявлено, как депошная тема,
[1318.78 - 1322.78] а не показали абсолютно новость способ.
[1322.78 - 1329.78] Мужчий и не методология мельников с кем поверил, но это был, конечно,
[1329.78 - 1331.78] и он занял гран при.
[1331.78 - 1336.78] Вот и всего вот этого всего ардекожного, именно мельников с кем поверил,
[1336.78 - 1347.10] занимает тем гран при как самый, а вот как бы передовой метод мышления,
[1347.10 - 1354.10] именно метод, да, не стиль, не направление обсказал, а метод мышления.
[1354.10 - 1361.10] Он не запаковывает с оварбой кополностью, но именно это выставка занимает гран при.
[1362.10 - 1367.10] Или кормизель, но есть вокруг мельников, паберионы со слюнами,
[1367.10 - 1371.10] в арту и бесконечно приглашают мельниковой работой с ним.
[1371.10 - 1376.24] Он наполгуда, остается в пореже.
[1376.24 - 1383.24] Я у него ангашимент на создание нового типа архитектурных зданий,
[1383.24 - 1388.24] это гараживе для общественных машин не было такого.
[1388.24 - 1390.24] Скорее того, как гараж.
[1393.24 - 1399.24] Телали, это же уникальный архитектур,
[1399.24 - 1403.24] функциональный архитектур не было такого.
[1403.24 - 1405.24] Но не было по требственным.
[1405.24 - 1406.24] Не было по требственным.
[1406.24 - 1409.24] Ты си по архитектуру такого не было.
[1409.24 - 1411.24] Она появляет.
[1411.24 - 1415.98] Конечно, там уже это все чувствует, потому что машины, это все, или кобезь,
[1415.98 - 1421.84] или кобезь, ено сам в деле. Это вообще гене из генев, я хочу тебе сказать.
[1421.84 - 1428.72] Это мы уходим чуть-чуть другой стороны, этого не надо. Но он как раз на волне этой выставке
[1428.72 - 1433.80] и аналитики, что как бы зиги, гене, да, да, да, да, да, да.
[1433.80 - 1442.16] Он, он, он, а сделал калаборации повеследованию со всякими автомобильными темами,
[1442.16 - 1449.56] мити-порину и так далее, и он говорил о том, что городовой строится по другому, потому что машины
[1449.56 - 1455.56] призводов, в производство машин и вообще дорогие, так далее, вот то, что мы сейчас строим,
[1455.56 - 1459.88] это все хебеня, потому что нужно подгражить и прочее прочее прочее.
[1460.40 - 1470.48] Еще не было этого всего, он болтал от обдвадцать вернокодулы. И следово в эту тему. Это надо видеть, это надо быть геняли, правда.
[1470.48 - 1479.20] Но вот и мельников ставят с там на полгода, он делает какие-то из кизы и в результате, не потому, что его там неодобрели,
[1479.20 - 1486.20] а в этих скизах, очень даже одобрели, оставили, а вот эта тема, что именно в России существует,
[1486.20 - 1491.20] самый большой полетмысвей именно в России.
[1491.20 - 1502.20] Вот это все, что существует именно в России, какая там, в Франции, вот там, это все, и даже лекребезелы, схищать.
[1503.20 - 1510.20] И три раза он сюда върдет, да, ну то есть какая прация, вот России есть, он уже уже да обратно.
[1510.20 - 1518.20] И уже в России он строит вот эти вот новые типы, этих тектов на козданий, гаражы, не только один он да существует.
[1519.20 - 1525.20] Масквен. А вот это 1922, что там вот это сразу после выставки, сразу после выставки,
[1525.20 - 1530.20] сразу после выставки, то есть не высказ есть, который он сделал уже в Франции.
[1530.20 - 1538.20] И они все проговорены, очень прекрасным архитектуром, с обществом, он очень уверен,
[1538.20 - 1545.20] во себе он понимает, что он делает, или он делает, и действительно делает очень хорошо.
[1545.20 - 1556.20] Вот ручен, катам же был, да, вместе с ним он сделал внутреннюю тему, его поверенно, красный, красный виблиотеку,
[1556.20 - 1564.20] где там, если рассмотреть, убрать этот красный цвет, это дальше, там офигенный совершенно придумки,
[1564.20 - 1577.20] и там же в этом поверении, потрясающее выставка образцов, эскизов, текстиля,
[1577.20 - 1585.20] розыновая и степановая, степановая жена рученко, которые просто сумасвели пориш,
[1585.20 - 1595.57] потому что если я тебе их покажу, то есть это поряжание, прям почувствовать все.
[1595.57 - 1604.57] А рученко, у его степановая и розыновая, они уже предоставили эти эскизы, потому что как туда возьмут,
[1604.57 - 1614.57] а как раз эсососер, так называемые агиттик стиль, в рамках, которую это было сделано,
[1614.57 - 1624.57] и в оксоживании зарежет, то есть у вас подито зарежет, франсуз заберут методология, методология связана,
[1624.57 - 1635.57] машинной темы, потому что рученко говорила о том, что нам бы здорово отсланица от индивидуальной,
[1635.57 - 1644.57] от этой трясущей сируки, взять циркуль, и тогда я не был в восторге от компьютерных программ, я более чем уверена.
[1644.57 - 1655.57] То есть так более, я не с астепановым вырботом, это геонитрический, очень красивый, рехочный композиции, рехочный, а-то.
[1655.57 - 1657.61] Великолепный.
[1657.61 - 1658.57] Да, великолепный.
[1658.57 - 1666.57] Вот такой вот прям мощный современный, она смотрела, не вот эти вот цветочки, фиг очки, вот эти все, а что-то.
[1666.57 - 1671.57] И это была с абстракция, я связанно, потому что самое гиттик стиль не туда не предоставили.
[1671.57 - 1672.57] Дочери.
[1672.57 - 1675.57] Ну, как бы, а ты знаешь, что такое гитетикстри?
[1675.57 - 1687.29] Нет.
[1687.29 - 1688.29] Попратируйте.
[1688.29 - 1694.15] Попратируйте.
[1694.15 - 1700.11] Прошу прощения.
[1700.11 - 1703.11] Ну, а гитетикстри, ты понимаешь, а гитетционный гитетикстри.
[1703.11 - 1707.65] Здесь, в пропор, прошедовка.
[1707.65 - 1713.90] Сейчас милота, ребята, которые работали на гитетикстри,
[1713.90 - 1715.90] кабинат, вот это все.
[1715.90 - 1720.69] Видишь, что тебя в гитетикстри начали.
[1720.69 - 1722.97] Вару.
[1722.97 - 1724.97] А ступтийская тема.
[1724.97 - 1728.97] А, ну, у меня занимаюсь.
[1728.97 - 1732.97] Связанность качеством агитетикстиль.
[1732.97 - 1737.97] То есть великолепно созданные рапорты.
[1737.97 - 1739.97] Великолепно создан.
[1739.97 - 1741.97] Они великолепно созданы.
[1741.97 - 1744.97] Но в которых заключена агитационная тема.
[1744.97 - 1746.97] Ну, это великолепно.
[1746.97 - 1749.97] И это ардопожная, прямо тема.
[1749.97 - 1753.97] То есть вот этот ритм, которая нет, все милей почувствовать.
[1753.97 - 1754.97] Согли.
[1754.97 - 1755.97] Согли?
[1755.97 - 1757.97] Что делать, да?
[1757.97 - 1759.97] Симас, эти.
[1759.97 - 1760.97] Фабричный.
[1760.97 - 1761.97] Вот, вот.
[1761.97 - 1762.97] Какая красота.
[1762.97 - 1763.97] Топлое вол.
[1763.97 - 1765.97] Восмотри.
[1765.97 - 1767.97] Генний злодист, а с инститемы.
[1767.97 - 1768.97] Обстан.
[1768.97 - 1770.97] Но это не злодист, они верили.
[1770.97 - 1772.97] Они верили в то, что, если не злодист,
[1772.97 - 1776.97] и в стороне, ребята, которые все это выполняли.
[1776.97 - 1777.97] Это была искренна.
[1777.97 - 1778.97] Нет, вы ежете.
[1778.97 - 1781.97] Это стреляет, даже в Генре, что они правы не делают.
[1781.97 - 1782.97] Ну, ну.
[1782.97 - 1783.97] Вот.
[1783.97 - 1786.97] Просто, что скил, вы зачем же уруни?
