# Transcript for New Recording 21.m4a
# Language: ru, prob=1.00

[   0.53 -    4.85] на пятый день для самостоятельно-авторский подробный гайд
[   4.85 -    6.65] в пятый день, для самостоятельно...
[   7.65 -   11.01] Как бы сказать, для самостоятельного изучения,
[  11.01 -   16.00] как бы вот, когда люди...
[  16.00 -   25.18] Самостоятельное изучение немножко не так,
[  25.18 -   26.94] немножко плохо звучит,
[  26.94 -   30.14] а здесь мы даем направление...
[  30.14 -   33.26] Люди с мысл в отчем, люди
[  34.14 -   40.98] видят то направление, которое мы для них выбрали,
[  41.70 -   42.98] понимают...
[  42.98 -   46.98] И там очень много, то есть у них есть возможность выбрать
[  46.98 -   48.98] варианты.
[  48.98 -   52.98] Ну, короче, мы даем гайд на пятый день авторский,
[  52.98 -   54.98] можно проще, а там внутри уже будут скажут...
[  54.98 -   58.98] Не надо вот эти сложные слова,
[  58.98 -   62.98] всякие на мой взгляд.
[  62.98 -   64.98] Друзья, еще раз пока вот,
[  64.98 -   66.98] по тому, что мы видим, значит,
[  66.98 -   68.98] слишком мелкие даты, так?
[  68.98 -   72.98] Да, да, я тоже думаю...
[  72.98 -   74.98] Слушай, вот это что такое, ваш код телекрам,
[  74.98 -   76.98] что это должно сделать?
[  76.98 -   78.98] Да, раздельно по очереди.
[  78.98 -   80.98] Мы сейчас сделаем это дело,
[  80.98 -   82.98] я решусь, не играл.
[  82.98 -   84.98] Ну, в общем, вот, да?
[  84.98 -   88.98] Я понял, нужно сделать крупнее даты, согласен.
[  88.98 -   94.98] Последняя дата, плюс, 18-е плюс, верно?
[  94.98 -   96.98] Да.
[  96.98 -  104.69] Гайд, вот вас, правильно?
[ 104.69 -  109.09] Повчитывайся, посмотри.
[ 202.22 -  204.22] Очень хорошо работают вот эти всякие.
[ 204.22 -  206.22] Блестящие, гениальные.
[ 206.22 -  208.22] Совсем хотя бы пару слов,
[ 208.22 -  210.22] но будет хорошо, при этом все.
[ 210.22 -  241.75] Вот эта излишняя...
[ 241.75 -  243.75] Деталь слишком?
[ 243.75 -  245.75] Не надо здесь.
[ 245.75 -  247.75] Выбираем деталь, где работало
[ 247.75 -  249.75] через наблюдение за поведением
[ 249.75 -  251.75] с коррекцбортиком, чтобы крошки не падали
[ 251.75 -  252.75] по завскому кровать.
[ 252.75 -  253.75] Это слишком детализировано?
[ 253.75 -  255.75] Детализируем. Это там внутри.
[ 255.75 -  258.42] Хорошо.
[ 258.42 -  260.42] А вот сказать, допустим,
[ 260.42 -  262.42] приценирует и продает Эллин Грей.
[ 262.42 -  265.42] Это же наша точка связи с ней понимаете?
[ 265.42 -  267.42] Да. Да. Эллин Грей.
[ 267.42 -  270.42] Может быть, там самая выдающаяся
[ 270.42 -  272.42] женщина-модерниста
[ 272.42 -  275.42] 20 века. Вот такое вот можно.
[ 275.42 -  278.42] Штуку. Ну, то есть кто такая?
[ 278.42 -  281.42] Где, не знаю, то такая. Самая выдающаяся, например.
[ 281.42 -  284.42] Вот такое. А вот это вот прибрать, да?
[ 284.42 -  306.51] По лазды, то есть...
[ 306.51 -  307.51] Окей.
[ 307.51 -  323.15] Слава богу, Лиза Бетлериша и женулася.
[ 323.15 -  325.15] Значит, будет все...
[ 325.15 -  327.15] более-менее нормально.
[ 327.15 -  330.46] Ты же тебе рассказывал, что в сентябре
[ 330.46 -  332.46] была плохая восторга.
[ 332.46 -  334.46] Там не было оператора Лиза Бетлериша.
[ 334.46 -  336.46] Как ее видно это?
[ 336.46 -  339.46] Всегда видно, что там очень авторитарно, что ли?
[ 339.46 -  341.46] Нет, просто видно качество.
[ 341.46 -  343.46] Но авторитарно, то есть там у одного человека
[ 343.46 -  345.46] так сильно зависит?
[ 345.46 -  347.46] Я считаю, что... да?
[ 347.46 -  349.46] Биктат, короче.
[ 349.46 -  351.46] Да.
[ 351.46 -  354.46] Это очень знаменитый чувак.
[ 354.46 -  357.46] Русского, в смысле, российского.
[ 357.46 -  359.46] Но он давно работает.
[ 359.46 -  360.46] Гарин Урел.
[ 360.46 -  363.46] В Америке. Он то ли татарин, то ли...
[ 363.46 -  365.46] Вашки... ну вот что-то такое.
[ 365.46 -  368.46] Не важно. Я его знаю и знаю лично.
[ 368.46 -  370.46] Еще здесь.
[ 370.46 -  372.46] Когда...
[ 372.46 -  374.46] Мы с ним делали дизайн ток
[ 374.46 -  382.70] на космоску.
[ 382.70 -  384.70] Кураторство.
[ 384.70 -  386.70] Или разве есть такое слово куроцие?
[ 386.70 -  388.70] Это... если бы себя бы прочитали,
[ 388.70 -  390.70] они бы ты тоже жали вообще.
[ 390.70 -  392.70] Куроцие это...
[ 392.70 -  394.70] Все, принял.
[ 394.70 -  398.43] Член.
[ 398.43 -  400.43] Ты записывать хотел?
[ 400.43 -  416.06] А где бы нам написать простого лет
[ 416.06 -  418.06] Артеко?
[ 418.06 -  420.06] Вот здесь, может быть, где-то вот это
[ 420.06 -  422.06] вытащить тему.
[ 422.06 -  424.06] Ты хочешь, чтобы было сказано про сто лети
[ 424.06 -  426.06] Артеко?
[ 426.06 -  428.06] Да, но почему мы об этом вдруг
[ 428.06 -  430.06] вставонесим и болтаем?
[ 430.06 -  432.06] Принял.
[ 432.06 -  434.06] Нет, где бы я решу? Я задачу понял.
[ 434.06 -  435.06] Включить
[ 435.06 -  437.06] месседж про сто лети Артеко.
[ 437.06 -  439.06] Слушай, а может здесь поречь индивидуальный
[ 439.06 -  443.21] почерк Артеко.
[ 443.21 -  445.21] Сто лет. Все.
[ 445.21 -  447.21] Вот таким брутальным.
[ 447.21 -  449.21] И здесь и сотка
[ 449.21 -  451.21] будет выглядеть.
[ 451.21 -  453.21] Да-да-да, я тоже понял, что сто
[ 453.21 -  455.21] число будет...
[ 455.21 -  457.21] эффектно выйдет.
[ 457.21 -  459.21] Прекрасно.
[ 459.21 -  461.21] Нет, подожди, не все, давай.
[ 461.21 -  463.21] Я же сказала все или нет?
[ 463.21 -  465.21] Кураторы.
[ 465.21 -  467.21] Давай, Артеко.
[ 467.21 -  469.21] Здесь у нас есть вопросы
[ 469.21 -  471.21] по амузонам уже?
[ 471.21 -  473.21] Нет.
[ 473.21 -  475.21] Далее посмотрим, если у нас вопрос
[ 475.21 -  487.50] о том, что это
[ 487.50 -  489.50] это уобразная ножка,
[ 489.50 -  491.50] это уже частности.
[ 491.50 -  493.50] А вот дом коллекционера
[ 493.50 -  495.50] жильё и галерея
[ 495.50 -  497.50] это вообще в первую очередь.
[ 497.50 -  499.50] И писать надо
[ 499.50 -  501.50] Алвар Аалта.
[ 501.50 -  503.50] Отдельное во имени не произносятся.
[ 503.50 -  505.50] Вот так принято везде.
[ 505.50 -  507.50] Алвар и во имя, Аалта и в фамилии.
[ 507.50 -  509.50] Алвар Аалта.
[ 509.50 -  511.50] Вот так и пишем.
[ 511.50 -  513.50] А вот здесь просто написано.
[ 513.50 -  515.50] Здесь да.
[ 515.50 -  517.50] Как ты?
[ 517.50 -  519.50] Да, я и цоверю, что у нас первое предложение
[ 519.50 -  521.50] просто Аалта и 1908-й
[ 521.50 -  523.50] дом коллекционера.
[ 523.50 -  525.50] Это самая знаменитая
[ 525.50 -  527.50] яркая архитектура
[ 527.50 -  529.50] Вилла.
[ 529.50 -  531.50] Вилла.
[ 531.50 -  533.50] Алвара Аалта.
[ 533.50 -  535.50] Самая знаменитая его,
[ 535.50 -  537.50] яркая.
[ 537.50 -  539.50] Именно находится под Парижем.
[ 539.50 -  541.50] И это странно, но это важно.
[ 541.50 -  546.73] Вот это вот
[ 546.73 -  548.73] значит
[ 548.73 -  550.73] в первую очередь, что это
[ 550.73 -  552.73] дом коллекционера.
[ 552.73 -  554.73] Это я понял?
[ 554.73 -  556.73] Да, то есть
[ 556.73 -  558.73] самая знаменитая Вилла, дом коллекционера
[ 558.73 -  560.73] жильё и галерея.
[ 560.73 -  562.73] Аргономика
[ 562.73 -  567.67] как забота
[ 567.67 -  571.50] Аргономика.
[ 571.50 -  573.50] Аргономика как забота
[ 573.50 -  575.50] Дальше могут быть вопросы, но
[ 575.50 -  579.35] это очень хорошо.
[ 579.35 -  583.11] Какое слово выбрать?
[ 583.11 -  585.11] Человеческая эстетика.
[ 585.11 -  587.11] Заботливая эстетика.
[ 587.11 -  589.11] Заботливая модернистка.
[ 589.11 -  591.11] Модернизм важен,
[ 591.11 -  593.11] потому что
[ 593.11 -  595.11] это заботливая эстетика, она может в разном проявляться.
[ 595.11 -  597.11] Все, ааа.
[ 597.11 -  599.11] Понял.
[ 599.11 -  601.11] Возьму.
[ 601.11 -  603.11] Модернизм человеческим лицом выглядит как шаблон.
[ 603.11 -  605.11] Это плохая фраза.
[ 605.11 -  607.11] Понимаешь, да?
[ 607.11 -  609.11] То есть про модернизм
[ 609.11 -  611.11] и про все равно вот это.
[ 611.11 -  613.11] Вот и все.
[ 613.11 -  617.99] Планшафт.
[ 617.99 -  619.99] Тут 10 плюс-минус.
[ 619.99 -  621.99] Да, входы и встречи не галка, а
[ 621.99 -  623.99] галка и одноименно
[ 623.99 -  625.99] перечерпенность.
[ 625.99 -  627.99] Плюс-минус.
[ 627.99 -  636.49] Как это так?
[ 636.49 -  638.49] Первый день с ареаномастера, второй сядетский слой.
[ 638.49 -  640.49] Элин Греевска, 30 минут
[ 640.49 -  642.49] 3-й день с ареаномастером.
[ 642.49 -  644.49] Слушай, а нужно ли вот это?
[ 644.49 -  646.49] Если есть, вот здесь поднимем.
[ 646.49 -  648.49] Да, это избыточно.
[ 648.49 -  650.49] Мне кажется, это как повтор.
[ 650.49 -  652.49] Вот программа для дизайнера, декоратора, архитекторов
[ 652.49 -  654.49] и тех, кто интересуется
[ 654.49 -  658.28] этим всем.
[ 658.28 -  660.28] А.
[ 660.28 -  662.28] А сейчас, сейчас...
[ 662.28 -  664.28] И адептов, не знаю, кого.
[ 664.28 -  666.28] Хорошо, я принял.
[ 666.28 -  668.28] Нет, энтузиастов, как.
[ 668.28 -  670.28] Да, я принял.
[ 670.28 -  672.28] И энтузиастов.
[ 672.28 -  674.28] Этузиастов, как раз.
[ 674.28 -  676.28] А вот первый день с ареаномастера и до 4-й
[ 676.28 -  683.56] аута, который убирает.
[ 683.56 -  685.56] А может быть, вот так сделать.
[ 685.56 -  687.56] Парижские дизайнеры
[ 687.56 -  689.56] смешивают новое со старым.
[ 689.56 -  691.56] Потому что слово
[ 691.56 -  693.56] со старинным...
[ 693.56 -  695.56] А, ну я понимаю, да.
[ 695.56 -  697.56] Я понимаю, но не только
[ 697.56 -  699.56] с лентажом.
[ 699.56 -  701.56] Вот я бы сейчас... Одно дело болтаж,
[ 701.56 -  703.56] другое дело видишь, как написано.
[ 703.56 -  705.56] А дизайнеры смешивают новое со старинным.
[ 705.56 -  707.56] В слову старинное есть
[ 707.56 -  709.56] лентаж и ампит.
[ 709.56 -  711.56] Да, ну все, все, как ты говоришь, все понятно.
[ 711.56 -  717.08] Все.
[ 717.08 -  719.08] Сейчас я с твоим телефоном должен какое-то время привести.
[ 721.08 -  729.16] Окей.
[ 729.16 -  731.16] Как салон?
